"B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over","id","Geographic Area Name"
"1531","342","828","206","68","47","53","52","95","56","33","28","26","32","38","36","0","12","57","61","0","12","27","28","71","50","75","42","14","14","42","34","39","28","24","21","8","14","57","34","29","23","23","21","24","24","2","3","23","24","703","170","33","39","48","30","19","20","32","28","0","12","0","12","5","13","36","32","27","30","11","16","47","38","41","35","95","50","44","35","32","27","21","15","37","26","10","15","8","13","36","28","66","48","17","18","38","35","1500000US150010201001","Block Group 1, Census Tract 201, Hawaii County, Hawaii"
"578","144","254","70","5","5","8","9","21","16","8","10","8","9","0","12","7","11","0","12","6","7","11","12","14","12","9","7","15","12","18","12","13","11","28","26","47","45","9","8","14","11","4","6","5","6","0","12","4","6","324","94","33","40","14","13","8","10","5","8","10","11","6","10","0","12","1","3","3","5","16","12","16","13","8","8","21","14","24","26","18","16","49","41","9","8","5","7","11","9","14","14","11","11","3","5","39","48","1500000US150010201002","Block Group 2, Census Tract 201, Hawaii County, Hawaii"
"1221","309","566","147","64","44","13","14","37","40","30","30","0","12","0","12","0","12","4","4","28","20","29","17","17","10","79","58","24","14","30","23","82","42","4","6","4","4","16","12","27","23","21","9","24","13","10","7","23","16","655","174","21","23","39","39","12","9","8","9","51","50","2","3","1","3","8","17","31","20","47","31","47","42","16","15","111","92","34","25","35","21","9","8","39","35","20","13","23","10","23","12","24","12","8","5","46","22","1500000US150010201003","Block Group 3, Census Tract 201, Hawaii County, Hawaii"
"881","255","455","134","21","30","45","33","46","39","10","13","0","12","0","12","0","12","14","18","18","18","55","54","20","19","41","29","19","16","12","14","31","24","0","12","27","22","15","17","12","14","32","24","23","21","10","12","4","5","426","139","44","38","41","33","36","28","3","6","0","12","0","12","0","12","0","12","14","22","19","22","9","11","52","36","14","23","0","12","52","30","25","20","25","18","2","3","31","22","24","21","29","22","4","5","2","3","1500000US150010201004","Block Group 4, Census Tract 201, Hawaii County, Hawaii"
"1684","404","1107","267","0","12","122","114","9","12","21","22","5","11","11","15","6","9","37","31","93","60","52","51","155","105","133","81","123","51","130","79","91","54","10","11","60","49","5","9","8","9","12","8","12","12","0","12","12","8","577","194","77","86","0","12","9","12","6","8","0","12","15","15","0","12","12","18","49","41","79","70","48","58","58","69","26","24","31","36","61","31","16","26","10","13","49","68","6","9","8","8","14","14","3","6","0","12","1500000US150010202021","Block Group 1, Census Tract 202.02, Hawaii County, Hawaii"
"1066","211","568","179","17","17","26","20","36","24","9","12","21","22","0","12","0","12","24","24","12","13","40","29","7","7","114","80","36","27","19","16","45","25","11","14","20","15","11","10","28","14","61","65","9","7","10","15","12","14","498","90","15","21","44","24","46","26","3","6","0","12","0","12","0","12","19","21","9","10","20","23","36","21","40","23","25","19","23","16","22","14","36","21","23","18","19","11","37","22","16","12","31","24","24","15","10","10","1500000US150010202022","Block Group 2, Census Tract 202.02, Hawaii County, Hawaii"
"858","245","454","169","0","12","0","12","28","42","23","28","39","44","0","12","0","12","0","12","32","28","24","40","0","12","26","39","16","22","64","65","5","13","23","25","28","29","27","28","6","12","28","24","11","11","20","20","54","47","404","118","0","12","0","12","16","27","26","34","34","50","0","12","0","12","0","12","19","28","9","15","0","12","19","24","18","24","33","37","7","14","59","43","23","30","39","38","17","25","18","20","19","23","12","16","36","22","1500000US150010203001","Block Group 1, Census Tract 203, Hawaii County, Hawaii"
"1644","485","911","333","74","68","70","49","132","158","35","53","66","85","0","12","0","12","81","68","19","21","56","53","130","106","98","80","0","12","12","18","26","29","0","12","34","37","5","11","57","51","16","18","0","12","0","12","0","12","733","203","10","21","26","32","164","165","7","17","10","18","0","12","66","67","33","30","46","42","54","47","113","90","47","54","5","10","63","61","24","25","0","12","0","12","0","12","19","22","36","31","10","16","0","12","0","12","1500000US150010203002","Block Group 2, Census Tract 203, Hawaii County, Hawaii"
"1865","412","975","245","49","55","55","61","71","71","111","85","15","26","0","12","1","2","17","26","180","98","52","72","35","38","14","23","54","48","66","67","19","18","9","15","12","15","55","58","38","49","57","41","33","28","22","26","10","16","890","204","0","12","83","114","82","77","0","12","1","2","1","2","0","12","41","44","103","72","81","66","50","43","37","50","53","49","0","12","32","31","12","20","67","67","29","33","82","49","60","37","37","32","0","12","39","32","1500000US150010203003","Block Group 3, Census Tract 203, Hawaii County, Hawaii"
